ro.build.id,ro.build.display.id,ro.product.name,ro.product.device,ro.product.board,ro.product.manufacturer,ro.product.brand,ro.product.model,ro.bootloader,ro.hardware,ro.build.type,ro.build.tags,ro.build.fingerprint,ro.build.user,ro.build.host,ro.build.version.incremental,ro.build.version.release,ro.build.version.sdk,ro.build.version.codename,screen.height,screen.width,screen.density,screen.xdpi,screen.ydpi,screen.dpi,screen.scaledDensity
HONORHRY-LX1T,HRY-LX1T 9.1.0.292(C10E2R1P14),HRY-LX1TRU,HWHRY-HF,HRY-L21T,HUAWEI,HONOR,HRY-LX1T,unknown,kirin710,user,release-keys,HONOR/HRY-LX1TRU/HWHRY-HF:9/HONORHRY-LX1T/292C10:user/release-keys,test,cn-central-1b-22acb569f1577930253258-1400669213-jvnxw,292C10,9,28,REL,2139,1080,3.00,0.0000,0.0000,0,0.00
RP1A.200720.011,RP1A.200720.011,merlinnfc_ru,merlinnfc,merlinnfc,Xiaomi,Redmi,M2003J15SC,unknown,mt6768,user,release-keys,Redmi/merlinnfc_ru/merlinnfc:11/RP1A.200720.011/V12.5.1.0.RJORUXM:user/release-keys,builder,c5-miui-ota-bd052.bj,V12.5.1.0.RJORUXM,11,30,REL,2110,1080,2.75,0.0000,0.0000,0,0.00
QKQ1.200830.002,Android-Q-build-20211010183731,lemon_ru,lemon,lemon,Xiaomi,Redmi,M2010J19SY,unknown,qcom,user,release-keys,Redmi/lemon_ru/lemon:10/QKQ1.200830.002/V12.0.6.0.QJQRUXM:user/release-keys,builder,c4-xm-ota-bd072.bj,V12.0.6.0.QJQRUXM,10,29,REL,2132,1080,2.75,0.0000,0.0000,0,0.00
HUAWEICOL-L29,COL-L29 10.0.0.177(C10E4R1P4),COL-L29RU,HWCOL,COL,HUAWEI,HONOR,COL-L29,unknown,kirin970,user,release-keys,HONOR/COL-L29RU/HWCOL:10/HUAWEICOL-L29/10.0.0.177C10:user/release-keys,test,cn-central-1b-1055449871587967845650-4168846990-jg2wq,10.0.0.177C10,10,29,REL,2060,1080,3.00,0.0000,0.0000,0,0.00
HONORSTK-LX1,STK-L21HN 10.0.0.194(C10E3R1P1),STK-L21HNRU,HWSTK-HF,STK-L21HN,HUAWEI,HONOR,STK-LX1,unknown,kirin710,user,release-keys,HONOR/STK-L21HNRU/HWSTK-HF:10/HONORSTK-LX1/10.0.0.194C10:user/release-keys,test,cn-central-1b-f433747d91596078070208-1011120720-h3xn0,10.0.0.194C10,10,29,REL,2224,1080,3.00,0.0000,0.0000,0,0.00
RKQ1.200826.002,RKQ1.200826.002 test-keys,alioth_eea,alioth,alioth,Xiaomi,POCO,M2012K11AG,unknown,qcom,user,release-keys,POCO/alioth_eea/alioth:11/RKQ1.200826.002/V12.5.6.0.RKHEUXM:user/release-keys,builder,c5-xm-ota-bd018.bj,V12.5.6.0.RKHEUXM,11,30,REL,2190,1080,2.75,0.0000,0.0000,0,0.00
HONORLLD-L31,LLD-L31 9.1.0.181(C10E8R1P5),LLD-L31,HWLLD-H,LLD-L31A,HUAWEI,HONOR,LLD-L31,unknown,hi6250,user,release-keys,HONOR/LLD-L31/HWLLD-H:9/HONORLLD-L31/9.1.0.181C10:user/release-keys,test,cn-west-3b-b26c1f0a41596546746968-5ccfd98b49-8n9zq,9.1.0.181C10,9,28,REL,2032,1080,3.00,0.0000,0.0000,0,0.00
RP1A.200720.011,RMX2002_11_C.13,RMX2002RU,RMX2002L1,RM6785,realme,realme,RMX2002,unknown,mt6785,user,release-keys,realme/RMX2002RU/RMX2002L1:11/RP1A.200720.011/1631798729738:user/release-keys,root,ubuntu-10-201,1631798729738,11,30,REL,2153,1080,3.00,0.0000,0.0000,0,0.00
QKQ1.190910.002,QKQ1.190910.002 test-keys,nitrogen,nitrogen,sdm660,Xiaomi,Xiaomi,MI MAX 3,unknown,qcom,user,release-keys,Xiaomi/nitrogen/nitrogen:10/QKQ1.190910.002/V12.0.1.0.QEDMIXM:user/release-keys,builder,c3-miui-ota-bd142.bj,V12.0.1.0.QEDMIXM,10,29,REL,2116,1080,2.75,0.0000,0.0000,0,0.00
QKQ1.190828.002,QKQ1.190828.002 test-keys,dipper,dipper,sdm845,Xiaomi,Xiaomi,MI 8,unknown,qcom,user,release-keys,Xiaomi/dipper/dipper:10/QKQ1.190828.002/V12.0.1.0.QEAMIXM:user/release-keys,builder,c4-miui-ota-bd47.bj,V12.0.1.0.QEAMIXM,10,29,REL,2029,1080,2.75,0.0000,0.0000,0,0.00
